,gene_id,gene_name,gene_type,gene_chrom,gene_start,gene_end,n_cells,percent_cells,robust,highly_variable_features,ribosomal,mitochondrial,protein_coding,mitocarta_genes,robust_protein_coding,mean,bins,std
DLGAP1,ENSG00000170579,DLGAP1,protein_coding,18,3496032.0,4455307.0,6713540.0,75.44169678810309,True,False,False,False,True,False,True,2.0217539155839996,"(2.18, 7.959]",1.7256973500582409
MPZL1,ENSG00000197965,MPZL1,protein_coding,1,167721192.0,167791919.0,2622471.0,29.46935030067498,True,True,False,False,True,False,True,0.26774071228906504,"(0.72, 0.825]",0.4689639767592638
PSME1,ENSG00000092010,PSME1,protein_coding,14,24136163.0,24138967.0,441241.0,4.958333417612675,True,True,False,False,True,False,True,0.031734530653735916,"(0.104, 0.121]",0.15012656722927165
NUP210L,ENSG00000143552,NUP210L,protein_coding,1,153992685.0,154155116.0,2545817.0,28.60797048829652,True,True,False,False,True,False,True,0.2720146440203444,"(0.72, 0.825]",0.4698390304628222
RYR1,ENSG00000196218,RYR1,protein_coding,19,38433691.0,38587564.0,2264778.0,25.449866265541953,True,True,False,False,True,False,True,0.22984001996279296,"(0.551, 0.63]",0.4349784838439259
TMEM140,ENSG00000146859,TMEM140,protein_coding,7,135148072.0,135166215.0,1019891.0,11.460765494644441,True,True,False,False,True,False,True,0.08294277462829955,"(0.246, 0.282]",0.2486622002166932
SEPTIN4,ENSG00000108387,SEPTIN4,protein_coding,17,58520250.0,58544368.0,3170590.0,35.628698037010544,True,False,False,False,True,True,False,0.2797297794017973,"(0.96, 1.125]",0.44067056143200645
SLC44A5,ENSG00000137968,SLC44A5,protein_coding,1,75202131.0,75611116.0,3941873.0,44.29579441594305,True,True,False,False,True,False,True,0.7883319829637958,"(1.352, 1.683]",1.0991943953246592
CSF3R,ENSG00000119535,CSF3R,protein_coding,1,36466043.0,36483278.0,429331.0,4.82449782435691,True,True,False,False,True,False,True,0.03415959311170293,"(0.121, 0.14]",0.17920263593790836
HSPH1,ENSG00000120694,HSPH1,protein_coding,13,31134973.0,31162388.0,4174280.0,46.90740891819263,True,True,False,False,True,False,True,0.5409558670219259,"(1.125, 1.352]",0.6943547348602006
RAB34,ENSG00000109113,RAB34,protein_coding,17,28714281.0,28718429.0,346021.0,3.8883229062932845,True,True,False,False,True,False,True,0.02200183100382079,"(0.0894, 0.104]",0.12902153176038056
ENSG00000285082,ENSG00000285082,ENSG00000285082,protein_coding,9,117704157.0,118072314.0,1224263.0,13.757343820829762,True,True,False,False,True,False,True,0.1328415574369797,"(0.425, 0.484]",0.4002245303770799
PPP1R13L,ENSG00000104881,PPP1R13L,protein_coding,19,45379638.0,45406349.0,324916.0,3.6511608411662553,True,True,False,False,True,False,True,0.024187267176479947,"(0.0773, 0.0894]",0.13150611723086014
SINHCAF,ENSG00000139146,SINHCAF,protein_coding,12,31280584.0,31327058.0,284440.0,3.1963220945146733,True,True,False,False,True,False,True,0.01948961395585224,"(0.0671, 0.0773]",0.12406015427013217
EFCAB13,ENSG00000178852,EFCAB13,protein_coding,17,47323290.0,47441312.0,2879796.0,32.360974484935234,True,True,False,False,True,False,True,0.28856273630890517,"(0.825, 0.96]",0.47682415575158194
PTPRO,ENSG00000151490,PTPRO,protein_coding,12,15322257.0,15602175.0,3618836.0,40.66574835896886,True,True,False,False,True,False,True,0.6311050946448384,"(1.125, 1.352]",0.923974452188604
NAA11,ENSG00000156269,NAA11,protein_coding,4,79225694.0,79326061.0,624064.0,7.01276034169317,True,True,False,False,True,False,True,0.0492481382218249,"(0.14, 0.161]",0.2060650686172289
AHCYL1,ENSG00000168710,AHCYL1,protein_coding,1,109984765.0,110023742.0,4298420.0,48.30240056779554,True,False,False,False,True,True,False,0.5173673300599912,"(1.352, 1.683]",0.6600959316540594
DIO1,ENSG00000211452,DIO1,protein_coding,1,53891239.0,53911086.0,333279.0,3.745137924826873,True,False,False,False,True,False,True,0.027797229433918498,"(0.0773, 0.0894]",0.14471175777527032
GBP2,ENSG00000162645,GBP2,protein_coding,1,89106132.0,89150456.0,360789.0,4.054274547032255,True,True,False,False,True,False,True,0.030457130053162477,"(0.0894, 0.104]",0.17179884455101951
KAZN,ENSG00000189337,KAZN,protein_coding,1,13892792.0,15118043.0,7159584.0,80.45400269559043,True,False,False,False,True,False,True,1.939506806734901,"(2.18, 7.959]",1.5063838766072177
ENTPD2,ENSG00000054179,ENTPD2,protein_coding,9,137048107.0,137054061.0,305789.0,3.436226047530402,True,True,False,False,True,False,True,0.023616027666472833,"(0.0773, 0.0894]",0.13341301556537663
MLC1,ENSG00000100427,MLC1,protein_coding,22,50059391.0,50085426.0,718299.0,8.071702166248754,True,True,False,False,True,False,True,0.05836129000894584,"(0.185, 0.214]",0.23068867512364036
LAMA3,ENSG00000053747,LAMA3,protein_coding,18,23689453.0,23956222.0,1086547.0,12.209795327058904,True,True,False,False,True,False,True,0.1285753172805916,"(0.282, 0.324]",0.39042095855606135
SLC25A18,ENSG00000182902,SLC25A18,protein_coding,22,17563450.0,17590995.0,1716708.0,19.291069154233217,True,False,False,False,True,True,False,0.18593894841335037,"(0.551, 0.63]",0.442360913184451
PDE3A,ENSG00000172572,PDE3A,protein_coding,12,20368537.0,20688583.0,1863290.0,20.938247066123772,True,True,False,False,True,False,True,0.20774472857571283,"(0.551, 0.63]",0.5206757397447183
SGK3,ENSG00000104205,SGK3,protein_coding,8,66712734.0,66862022.0,1181982.0,13.282221846149076,True,True,False,False,True,False,True,0.09161146697490595,"(0.324, 0.368]",0.2532614396579959
CEBPD,ENSG00000221869,CEBPD,protein_coding,8,47736913.0,47738164.0,940448.0,10.56804500471852,True,True,False,False,True,False,True,0.08537331982797013,"(0.214, 0.246]",0.26909812046483217
DUSP22,ENSG00000112679,DUSP22,protein_coding,6,291630.0,351355.0,1742626.0,19.58231608168938,True,True,False,False,True,False,True,0.15335544721516717,"(0.425, 0.484]",0.3302073035647934
PIP5K1B,ENSG00000107242,PIP5K1B,protein_coding,9,68705240.0,69009176.0,3332980.0,37.453514324903374,True,True,False,False,True,False,True,0.46371206827332295,"(0.96, 1.125]",0.7143675016885337
PLVAP,ENSG00000130300,PLVAP,protein_coding,19,17351450.0,17377342.0,259183.0,2.912502986297977,True,True,False,False,True,False,True,0.016730571399246608,"(0.0577, 0.0671]",0.11005696618202429
SLC1A2,ENSG00000110436,SLC1A2,protein_coding,11,35251205.0,35420063.0,5151525.0,57.88895084356878,True,True,False,False,True,False,True,0.8721404249427601,"(1.683, 2.18]",1.1840986077206812
CD82,ENSG00000085117,CD82,protein_coding,11,44564427.0,44620358.0,1359270.0,15.274450616688792,True,True,False,False,True,False,True,0.10790513055160163,"(0.425, 0.484]",0.28708059564856236
MET,ENSG00000105976,MET,protein_coding,7,116672196.0,116798377.0,1151468.0,12.939328538625446,True,True,False,False,True,False,True,0.13175116507467313,"(0.324, 0.368]",0.357790442671204
MARCHF3,ENSG00000173926,MARCHF3,protein_coding,5,126867714.0,127030558.0,2189325.0,24.60198238494353,True,True,False,False,True,False,True,0.23694080134234663,"(0.63, 0.72]",0.496689136078617
ZNF738,ENSG00000172687,ZNF738,protein_coding,19,21358930.0,21388582.0,1390176.0,15.621748924427054,True,True,False,False,True,False,True,0.12085482846183215,"(0.368, 0.425]",0.2959257251375111
HOMER1,ENSG00000152413,HOMER1,protein_coding,5,79372636.0,79514134.0,3663677.0,41.169637681990004,True,True,False,False,True,False,True,0.5641862060931043,"(1.125, 1.352]",0.799109715287147
CHRM5,ENSG00000184984,CHRM5,protein_coding,15,33968497.0,34067458.0,1926558.0,21.64920511096892,True,True,False,False,True,False,True,0.1974295913069718,"(0.551, 0.63]",0.44349577863874456
OGN,ENSG00000106809,OGN,protein_coding,9,92383268.0,92404696.0,978983.0,11.001072257960407,True,True,False,False,True,False,True,0.09149313061030419,"(0.246, 0.282]",0.27495533339514727
SLCO4A1,ENSG00000101187,SLCO4A1,protein_coding,20,62642503.0,62685785.0,655855.0,7.370003611650685,True,False,False,False,True,False,True,0.06293688290652046,"(0.121, 0.14]",0.23068003550816857
MYOCD,ENSG00000141052,MYOCD,protein_coding,17,12665890.0,12768949.0,205032.0,2.3039949081793436,True,True,False,False,True,False,True,0.01870705290086596,"(0.0422, 0.0495]",0.1371000631876927
ARHGEF6,ENSG00000129675,ARHGEF6,protein_coding,X,136665547.0,136780932.0,2149081.0,24.1497506792353,True,True,False,False,True,False,True,0.23065496026025628,"(0.551, 0.63]",0.4353306689211682
TCIRG1,ENSG00000110719,TCIRG1,protein_coding,11,68039025.0,68050895.0,104340.0,1.1724941897822425,True,True,False,False,True,False,True,0.007281921505212644,"(0.027, 0.0314]",0.07236166971824282
HSPE1-MOB4,ENSG00000270757,HSPE1-MOB4,protein_coding,2,197500413.0,197550726.0,343838.0,3.8637919994857834,True,False,False,False,True,False,True,0.022117066217021933,"(0.0773, 0.0894]",0.12743926568361857
MOXD1,ENSG00000079931,MOXD1,protein_coding,6,132296055.0,132401475.0,1130991.0,12.709223463638184,True,True,False,False,True,False,True,0.14937506454627347,"(0.282, 0.324]",0.4342087332380527
ITGA5,ENSG00000161638,ITGA5,protein_coding,12,54395261.0,54419266.0,383602.0,4.310629827380178,True,True,False,False,True,False,True,0.035575586925357845,"(0.0894, 0.104]",0.1697102312663428
GAL3ST1,ENSG00000128242,GAL3ST1,protein_coding,22,30554635.0,30574665.0,1042409.0,11.713805787585946,True,True,False,False,True,False,True,0.08201099465852137,"(0.282, 0.324]",0.2435239567246324
PKD2L2,ENSG00000078795,PKD2L2,protein_coding,5,137887968.0,137942747.0,1709662.0,19.211891522824306,True,True,False,False,True,False,True,0.15210930137029102,"(0.425, 0.484]",0.3414005982991965
DGAT2L6,ENSG00000184210,DGAT2L6,protein_coding,X,70177483.0,70205704.0,207172.0,2.3280426134326886,True,True,False,False,True,False,True,0.015813913066432237,"(0.0495, 0.0577]",0.1150293304391324
KCNE4,ENSG00000152049,KCNE4,protein_coding,2,223051814.0,223198399.0,336703.0,3.783614253232225,True,True,False,False,True,False,True,0.03424373821433536,"(0.0894, 0.104]",0.1900507687114552
CAPN9,ENSG00000135773,CAPN9,protein_coding,1,230747384.0,230802003.0,319250.0,3.5874906084721188,True,True,False,False,True,False,True,0.021772240445536467,"(0.0894, 0.104]",0.12794946806618188
RORB,ENSG00000198963,RORB,protein_coding,9,74497335.0,74693177.0,3038016.0,34.13893145932039,True,True,False,False,True,False,True,0.5994388169960034,"(1.125, 1.352]",1.0036275182835999
IQCA1,ENSG00000132321,IQCA1,protein_coding,2,236324147.0,236507535.0,2608137.0,29.308275624459345,True,True,False,False,True,False,True,0.32140052998873625,"(0.72, 0.825]",0.5691527294913203
PPP1R1C,ENSG00000150722,PPP1R1C,protein_coding,2,181954241.0,182131398.0,583300.0,6.554685268353287,True,True,False,False,True,False,True,0.05400726136732896,"(0.14, 0.161]",0.23462474425044477
ANKS1A,ENSG00000064999,ANKS1A,protein_coding,6,34889255.0,35091406.0,5303963.0,59.60193406478811,True,False,False,False,True,False,True,0.7493707665949828,"(1.683, 2.18]",0.7344419910798734
GMIP,ENSG00000089639,GMIP,protein_coding,19,19629476.0,19643657.0,275191.0,3.0923888113893527,True,True,False,False,True,False,True,0.020961850229124904,"(0.0577, 0.0671]",0.12345017913376712
ANKRD30B,ENSG00000180777,ANKRD30B,protein_coding,18,14728272.0,14854038.0,1422309.0,15.982835332326925,True,True,False,False,True,False,True,0.1957939926256867,"(0.368, 0.425]",0.4980945124001613
TLL2,ENSG00000095587,TLL2,protein_coding,10,96364608.0,96513926.0,795277.0,8.936722846151547,True,True,False,False,True,False,True,0.06686970097929419,"(0.214, 0.246]",0.23907223683299636
ABI3BP,ENSG00000154175,ABI3BP,protein_coding,3,100749156.0,100993515.0,1071708.0,12.043045841893305,True,True,False,False,True,False,True,0.11191999085221344,"(0.282, 0.324]",0.3650593683621006
KLF3,ENSG00000109787,KLF3,protein_coding,4,38664197.0,38701517.0,2983222.0,33.523197832380305,True,True,False,False,True,False,True,0.3206416914737287,"(0.825, 0.96]",0.5472091136605386
MAP3K14,ENSG00000006062,MAP3K14,protein_coding,17,45263119.0,45317029.0,1711877.0,19.23678202148606,True,True,False,False,True,False,True,0.15493587968176362,"(0.425, 0.484]",0.3496095326518895
TTPA,ENSG00000137561,TTPA,protein_coding,8,63048553.0,63086053.0,709640.0,7.974398857936271,True,True,False,False,True,False,True,0.05543997747712453,"(0.185, 0.214]",0.2220265592776983
NUP37,ENSG00000075188,NUP37,protein_coding,12,102073103.0,102120120.0,875519.0,9.838421895188414,True,True,False,False,True,False,True,0.07348294271479347,"(0.214, 0.246]",0.2389505633925012
SEMA4D,ENSG00000187764,SEMA4D,protein_coding,9,89360787.0,89498130.0,5471885.0,61.488914794485396,True,True,False,False,True,False,True,0.6745791113968094,"(1.683, 2.18]",0.658766306705436
DCBLD1,ENSG00000164465,DCBLD1,protein_coding,6,117453817.0,117569858.0,1396496.0,15.692768315642539,True,False,False,False,True,False,True,0.14426530587591083,"(0.324, 0.368]",0.3616321868125296
IL21R,ENSG00000103522,IL21R,protein_coding,16,27402174.0,27452042.0,161445.0,1.814197090946848,True,True,False,False,True,False,True,0.014789623140194818,"(0.0362, 0.0422]",0.10994625604816434
GIMAP4,ENSG00000133574,GIMAP4,protein_coding,7,150567369.0,150573953.0,131433.0,1.476944880636855,True,True,False,False,True,False,True,0.009386645087638168,"(0.0362, 0.0422]",0.08602129828366639
SAXO1,ENSG00000155875,SAXO1,protein_coding,9,18858906.0,19049358.0,500617.0,5.625556103183984,True,True,False,False,True,False,True,0.04125617287177141,"(0.121, 0.14]",0.18338875712668773
TANC1,ENSG00000115183,TANC1,protein_coding,2,158968640.0,159232659.0,3817431.0,42.8974091182156,True,True,False,False,True,False,True,0.42802842075705244,"(1.352, 1.683]",0.6009267091857938
TMCO5A,ENSG00000166069,TMCO5A,protein_coding,15,37921939.0,37967724.0,90530.0,1.0173078301800498,True,True,False,False,True,False,True,0.008234671649731106,"(0.023, 0.027]",0.08770384758072676
KCTD4,ENSG00000180332,KCTD4,protein_coding,13,45192853.0,45201045.0,430525.0,4.837915095418823,True,True,False,False,True,False,True,0.030974499651025212,"(0.104, 0.121]",0.15025884780183082
ASPA,ENSG00000108381,ASPA,protein_coding,17,3472374.0,3503405.0,2773298.0,31.16423031948163,True,True,False,False,True,False,True,0.29188806366959275,"(0.96, 1.125]",0.5159876609536992
EPAS1,ENSG00000116016,EPAS1,protein_coding,2,46293667.0,46386697.0,855954.0,9.618565188047437,True,True,False,False,True,False,True,0.08541096073535535,"(0.246, 0.282]",0.3316810432200113
ATF3,ENSG00000162772,ATF3,protein_coding,1,212565334.0,212620777.0,492564.0,5.535062565611467,True,True,False,False,True,False,True,0.038931092537458106,"(0.121, 0.14]",0.18237762523119697
CCDC152,ENSG00000198865,CCDC152,protein_coding,5,42756818.0,42802439.0,1020384.0,11.466305456649067,True,True,False,False,True,False,True,0.08968827287084505,"(0.282, 0.324]",0.26555367281976844
SORBS3,ENSG00000120896,SORBS3,protein_coding,8,22544986.0,22575788.0,1099217.0,12.35217122685324,True,True,False,False,True,False,True,0.08813170431687437,"(0.282, 0.324]",0.25310510690100124
MT-ND6,ENSG00000198695,MT-ND6,protein_coding,MT,14149.0,14673.0,1464880.0,16.461216108186804,True,False,False,True,True,True,False,0.11460485059031561,"(0.324, 0.368]",0.3067483129575801
RGS12,ENSG00000159788,RGS12,protein_coding,4,3293028.0,3439913.0,4032353.0,45.312540383850816,True,True,False,False,True,False,True,0.5227402908754026,"(1.125, 1.352]",0.7438448934155049
TMEM106A,ENSG00000184988,TMEM106A,protein_coding,17,43211835.0,43220041.0,398184.0,4.474491340466287,True,True,False,False,True,False,True,0.028993268627706348,"(0.104, 0.121]",0.1470785606729671
WDR86,ENSG00000187260,WDR86,protein_coding,7,151375909.0,151410727.0,395366.0,4.442824782800901,True,False,False,False,True,False,True,0.0286534714605659,"(0.0894, 0.104]",0.15976683871173605
LEF1,ENSG00000138795,LEF1,protein_coding,4,108047545.0,108168956.0,273827.0,3.0770612086017066,True,True,False,False,True,False,True,0.036168275143289616,"(0.0894, 0.104]",0.22814730756372376
H3-2,ENSG00000273213,H3-2,protein_coding,1,143894544.0,143905977.0,169086.0,1.900060883395824,True,True,False,False,True,False,True,0.011772255925883393,"(0.0362, 0.0422]",0.09270232981269994
HLA-DMB,ENSG00000242574,HLA-DMB,protein_coding,6,32934629.0,32941028.0,181042.0,2.034413389942081,True,True,False,False,True,False,True,0.014675183365523524,"(0.0495, 0.0577]",0.1128882147525778
PMEPA1,ENSG00000124225,PMEPA1,protein_coding,20,57648392.0,57711536.0,1433635.0,16.110108374242525,True,True,False,False,True,False,True,0.14242184202495237,"(0.368, 0.425]",0.35940359913539177
CEACAM21,ENSG00000007129,CEACAM21,protein_coding,19,41549518.0,41586844.0,97482.0,1.095429160517084,True,True,False,False,True,False,True,0.007542255052064886,"(0.027, 0.0314]",0.08014350172884897
SLC22A24,ENSG00000197658,SLC22A24,protein_coding,11,63079940.0,63144221.0,1156630.0,12.997335199615057,True,True,False,False,True,False,True,0.1388852743588861,"(0.282, 0.324]",0.39601878741101104
OLIG2,ENSG00000205927,OLIG2,protein_coding,21,33025935.0,33029196.0,1231690.0,13.840802842753403,True,True,False,False,True,False,True,0.0988538293765763,"(0.368, 0.425]",0.28365173960979656
TP53,ENSG00000141510,TP53,protein_coding,17,7661779.0,7687538.0,769732.0,8.64966741124655,True,True,False,False,True,False,True,0.057037488015076514,"(0.185, 0.214]",0.21000484479220421
GYG2,ENSG00000056998,GYG2,protein_coding,X,2828822.0,2882820.0,641796.0,7.212019177932567,True,True,False,False,True,False,True,0.06006846966973753,"(0.14, 0.161]",0.2432740823907725
OTULIN,ENSG00000154124,OTULIN,protein_coding,5,14664664.0,14699850.0,2033292.0,22.848601266347664,True,True,False,False,True,False,True,0.17583134978048176,"(0.484, 0.551]",0.35421784085531627
ZIC4,ENSG00000174963,ZIC4,protein_coding,3,147386046.0,147406809.0,852001.0,9.57414435680142,True,True,False,False,True,False,True,0.06730633561190721,"(0.246, 0.282]",0.22886348275256704
IRF5,ENSG00000128604,IRF5,protein_coding,7,128937457.0,128950038.0,139560.0,1.5682699743723378,True,True,False,False,True,False,True,0.010367866236695783,"(0.0362, 0.0422]",0.08733683710500662
CLEC2B,ENSG00000110852,CLEC2B,protein_coding,12,9852369.0,9869386.0,129798.0,1.458571984333482,True,True,False,False,True,False,True,0.0142027282478439,"(0.0362, 0.0422]",0.12669318706283478
OR56A1,ENSG00000180934,OR56A1,protein_coding,11,6019336.0,6034338.0,58774.0,0.6604578638131255,True,True,False,False,True,False,True,0.022552198308849462,"(0.017, 0.0198]",0.20117580547329583
FNDC3B,ENSG00000075420,FNDC3B,protein_coding,3,172039578.0,172401669.0,4110747.0,46.193473003304426,True,True,False,False,True,False,True,0.5282903114248101,"(1.352, 1.683]",0.6838548811059723
CREBL2,ENSG00000111269,CREBL2,protein_coding,12,12611827.0,12645108.0,2204627.0,24.77393471475039,True,False,False,False,True,False,True,0.20789692086554412,"(0.551, 0.63]",0.38674793849170525
MCMDC2,ENSG00000178460,MCMDC2,protein_coding,8,66870749.0,66922048.0,1223376.0,13.747376384119613,True,True,False,False,True,False,True,0.1177062631672663,"(0.282, 0.324]",0.3175530466753546
ENSG00000281883,ENSG00000281883,ENSG00000281883,protein_coding,13,43883800.0,44028526.0,445318.0,5.00414766729393,True,True,False,False,True,False,True,0.03443202768907424,"(0.121, 0.14]",0.16447739247589765
H3-3A,ENSG00000163041,H3-3A,protein_coding,1,226061851.0,226072019.0,1074138.0,12.07035234832584,True,True,False,False,True,False,True,0.09149463828287224,"(0.246, 0.282]",0.255171350035058
LMO2,ENSG00000135363,LMO2,protein_coding,11,33858576.0,33892076.0,499707.0,5.615330209828589,True,True,False,False,True,False,True,0.043464516110482805,"(0.14, 0.161]",0.200641000828799
ENSG00000287856,ENSG00000287856,ENSG00000287856,protein_coding,1,231363797.0,231528603.0,972576.0,10.929075226391165,True,True,False,False,True,False,True,0.09280895027124252,"(0.246, 0.282]",0.27919420019882857
ABCC9,ENSG00000069431,ABCC9,protein_coding,12,21797389.0,21942543.0,1120466.0,12.59095145532442,True,True,False,False,True,False,True,0.12765479429353696,"(0.324, 0.368]",0.37763179627062865
PTPRE,ENSG00000132334,PTPRE,protein_coding,10,127907103.0,128085855.0,5024407.0,56.4604946770292,True,True,False,False,True,False,True,0.7524040073651189,"(1.683, 2.18]",0.8033603349702041
EZH2,ENSG00000106462,EZH2,protein_coding,7,148807257.0,148884321.0,980359.0,11.016534707693399,True,True,False,False,True,False,True,0.08918998508537365,"(0.214, 0.246]",0.2725423262563299
HERC5,ENSG00000138646,HERC5,protein_coding,4,88457119.0,88506163.0,571214.0,6.418871919899116,True,True,False,False,True,False,True,0.04239564910157373,"(0.161, 0.185]",0.1844932824166756
TMCO4,ENSG00000162542,TMCO4,protein_coding,1,19682240.0,19799945.0,1911966.0,21.485231225428358,True,True,False,False,True,False,True,0.19079288050298374,"(0.484, 0.551]",0.3780943868011893
PLXNB3,ENSG00000198753,PLXNB3,protein_coding,X,153764196.0,153779346.0,256930.0,2.8871854723092922,True,True,False,False,True,False,True,0.018026151495963573,"(0.0671, 0.0773]",0.11243057258043483
ITGA6,ENSG00000091409,ITGA6,protein_coding,2,172427354.0,172506459.0,1454669.0,16.346472594942927,True,True,False,False,True,False,True,0.15522350136353705,"(0.425, 0.484]",0.40807155276586143
C1R,ENSG00000159403,C1R,protein_coding,12,7080214.0,7092540.0,294698.0,3.311593758294492,True,True,False,False,True,False,True,0.024806923624816086,"(0.0671, 0.0773]",0.13729171897714723
CX3CR1,ENSG00000168329,CX3CR1,protein_coding,3,39263495.0,39281735.0,321650.0,3.614459997541291,True,True,False,False,True,False,True,0.022179703548780506,"(0.104, 0.121]",0.15673400733030549
ANKRD22,ENSG00000152766,ANKRD22,protein_coding,10,88819896.0,88851844.0,60511.0,0.6799769591519386,True,True,False,False,True,False,True,0.004374082330121013,"(0.017, 0.0198]",0.06269799073220227
ITGB5,ENSG00000082781,ITGB5,protein_coding,3,124761948.0,124901418.0,1394735.0,15.672979526413034,True,True,False,False,True,False,True,0.12271835737025248,"(0.368, 0.425]",0.3315735700942422
BMP7,ENSG00000101144,BMP7,protein_coding,20,57168753.0,57266641.0,1405637.0,15.795487976259745,True,True,False,False,True,False,True,0.12461226037092733,"(0.425, 0.484]",0.3399116958158894
MMP21,ENSG00000154485,MMP21,protein_coding,10,125753580.0,125775821.0,681256.0,7.655440883211533,True,False,False,False,True,False,True,0.05286918657634609,"(0.161, 0.185]",0.20076409610715532
SCD,ENSG00000099194,SCD,protein_coding,10,100347233.0,100364826.0,3841471.0,43.167552498725136,True,True,False,False,True,False,True,0.45649058431971323,"(1.352, 1.683]",0.6578665496306505
OPHN1,ENSG00000079482,OPHN1,protein_coding,X,67949349.0,68433913.0,5261944.0,59.12975624841415,True,True,False,False,True,False,True,0.8580666623208846,"(1.683, 2.18]",0.891949497446876
KCNQ5,ENSG00000185760,KCNQ5,protein_coding,6,72621792.0,73198853.0,5130366.0,57.65118196718769,True,True,False,False,True,False,True,1.5166968718910123,"(2.18, 7.959]",1.7220040264846161
FAXDC2,ENSG00000170271,FAXDC2,protein_coding,5,154818492.0,154859252.0,3145473.0,35.34645214315621,True,True,False,False,True,False,True,0.3105992693093107,"(0.96, 1.125]",0.4841906566888016
MGST2,ENSG00000085871,MGST2,protein_coding,4,139665768.0,139740745.0,1523231.0,17.11692061717649,True,True,False,False,True,False,True,0.15860329294006992,"(0.368, 0.425]",0.36694717348941347
CALR,ENSG00000179218,CALR,protein_coding,19,12938578.0,12944489.0,1821849.0,20.472564377617296,True,True,False,False,True,False,True,0.14301361131234797,"(0.425, 0.484]",0.3122995350703155
VGF,ENSG00000128564,VGF,protein_coding,7,101162509.0,101165569.0,876037.0,9.844242788329177,True,True,False,False,True,False,True,0.05682140874328186,"(0.185, 0.214]",0.22308030503693915
PDGFA,ENSG00000197461,PDGFA,protein_coding,7,497258.0,520296.0,1554442.0,17.467646284775622,True,True,False,False,True,False,True,0.12602040446279225,"(0.368, 0.425]",0.29753176966306855
CNTN5,ENSG00000149972,CNTN5,protein_coding,11,99020949.0,100358885.0,6185573.0,69.50880202198499,True,True,False,False,True,False,True,1.4029539250021243,"(2.18, 7.959]",1.4678559032383043
SSNA1,ENSG00000176101,SSNA1,protein_coding,9,137188660.0,137190370.0,899885.0,10.11222861771318,True,True,False,False,True,False,True,0.06566804166368204,"(0.214, 0.246]",0.21371827007201785
NHSL1,ENSG00000135540,NHSL1,protein_coding,6,138422043.0,138692571.0,2208969.0,24.8227268344747,True,True,False,False,True,False,True,0.29804407292654106,"(0.825, 0.96]",0.6724573279773476
NPY,ENSG00000122585,NPY,protein_coding,7,24284188.0,24291862.0,201123.0,2.26006851573293,True,True,False,False,True,False,True,0.01506477783953809,"(0.0495, 0.0577]",0.12437365509904418
NKAIN1,ENSG00000084628,NKAIN1,protein_coding,1,31179745.0,31239887.0,1155412.0,12.983648234662452,True,True,False,False,True,False,True,0.08600091054193239,"(0.282, 0.324]",0.27220239070357716
CERCAM,ENSG00000167123,CERCAM,protein_coding,9,128411751.0,128437351.0,4098160.0,46.05202979488207,True,True,False,False,True,False,True,0.4771829811160614,"(1.352, 1.683]",0.6591767903996886
PEAR1,ENSG00000187800,PEAR1,protein_coding,1,156893698.0,156916429.0,62102.0,0.6978554166557104,True,True,False,False,True,False,True,0.0068820822346374756,"(0.017, 0.0198]",0.07599217899664128
OAS2,ENSG00000111335,OAS2,protein_coding,12,112978395.0,113011723.0,83470.0,0.937972877334903,True,True,False,False,True,False,True,0.0065400957627480254,"(0.0198, 0.023]",0.07134021224730523
AKAP3,ENSG00000111254,AKAP3,protein_coding,12,4615508.0,4649051.0,215282.0,2.419176673995598,True,True,False,False,True,False,True,0.01782898227488105,"(0.0495, 0.0577]",0.11643628163239235
CYP7B1,ENSG00000172817,CYP7B1,protein_coding,8,64587763.0,64798737.0,3355230.0,37.70354303606549,True,True,False,False,True,False,True,0.3667460849809757,"(0.96, 1.125]",0.5625286851671296
VAV1,ENSG00000141968,VAV1,protein_coding,19,6772708.0,6857366.0,519996.0,5.8433226826721,True,True,False,False,True,False,True,0.04192110339512618,"(0.14, 0.161]",0.1922871271919709
PMP22,ENSG00000109099,PMP22,protein_coding,17,15229773.0,15272292.0,2843826.0,31.956770766261023,True,True,False,False,True,False,True,0.267782325585651,"(0.825, 0.96]",0.45526563213890536
CCDC200,ENSG00000236383,CCDC200,protein_coding,17,43216941.0,43305397.0,2247204.0,25.252382914082943,True,True,False,False,True,False,True,0.2029345301438097,"(0.72, 0.825]",0.41413051651660476
FTH1,ENSG00000167996,FTH1,protein_coding,11,61959718.0,61967634.0,5969037.0,67.07553384220076,True,False,False,False,True,True,False,0.751147718979534,"(1.683, 2.18]",0.7250760487179188
GREB1L,ENSG00000141449,GREB1L,protein_coding,18,21242242.0,21525417.0,3291158.0,36.98355024588217,True,True,False,False,True,False,True,0.4028299453344993,"(0.96, 1.125]",0.6366820096732153
KCNS3,ENSG00000170745,KCNS3,protein_coding,2,17877847.0,18361616.0,941365.0,10.57834955879203,True,True,False,False,True,False,True,0.09388909363502049,"(0.246, 0.282]",0.3322502558330499
HPSE2,ENSG00000172987,HPSE2,protein_coding,10,98457077.0,99235862.0,2116882.0,23.787922613136026,True,True,False,False,True,False,True,0.32633904674870506,"(0.72, 0.825]",0.7646529310994647
EVI2A,ENSG00000126860,EVI2A,protein_coding,17,31316410.0,31321749.0,506099.0,5.68715868271615,True,True,False,False,True,False,True,0.03366145412963788,"(0.121, 0.14]",0.15534973606206592
